id,text,argument,label
6arg7,"Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?",Marriage should be between a man and a woman,1
7arg1,"Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!",Gay couples can declare their union without resort to marriage,5
7arg2,"Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,4
7arg5,"Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!",Major world religions are against gay marriages,4
7arg7,"Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!",Marriage should be between a man and a woman,5
8arg4,"All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.",It is discriminatory to refuse gay couples the right to marry,2
8arg5,"All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.",Major world religions are against gay marriages,4
8arg7,"All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.",Marriage should be between a man and a woman,5
9arg5,"America is not built on religious theology. It was suppose to be a place where EVERYONE can practice their own beliefs and religion; you cannot force anyone to practice your religion. For a Buddhist, Christian values, the bible are nothing. For an Atheist, nothing. This country separates the church and state; you cannot stop gay marriages with arguments of religion.   Some people are arguing that gay marriages should be stopped because they cannot produce children. Neither can infertile straight couples. And neither will straight couples who don't WANT children but CAN. What is the point of this argument when these straight couples won't be producing any children? Are we going to value people by what they CAN do? In that case, why not get rid of and kill all the disabled, the elderly, terminally ill patients, the mentally ill, the homeless, and everybody and anyone who can't be a potential benefit to society?  Also to be quite frank, in general, taxpayers don't want to be taxpayers. Many people don't have children and these people believe that it is wrong for them to be paying taxes for education. If we could all pay taxes according to what we believe, this entire country can go down because nothing will ever get tax support.",Major world religions are against gay marriages,1
9arg6,"America is not built on religious theology. It was suppose to be a place where EVERYONE can practice their own beliefs and religion; you cannot force anyone to practice your religion. For a Buddhist, Christian values, the bible are nothing. For an Atheist, nothing. This country separates the church and state; you cannot stop gay marriages with arguments of religion.   Some people are arguing that gay marriages should be stopped because they cannot produce children. Neither can infertile straight couples. And neither will straight couples who don't WANT children but CAN. What is the point of this argument when these straight couples won't be producing any children? Are we going to value people by what they CAN do? In that case, why not get rid of and kill all the disabled, the elderly, terminally ill patients, the mentally ill, the homeless, and everybody and anyone who can't be a potential benefit to society?  Also to be quite frank, in general, taxpayers don't want to be taxpayers. Many people don't have children and these people believe that it is wrong for them to be paying taxes for education. If we could all pay taxes according to what we believe, this entire country can go down because nothing will ever get tax support.","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",4
10arg4,"Any person should have the ability to marry if they wish. What other people think doesn't matter. If you are against homosexual union because of your religious beliefs, or other personal beliefs, it shouldn't and doesn't affect how two people choose to live their lives. Frankly, it's none of your business! Everybody should have the right to be happy, and whether devoting your life to your church makes you happy, or being married to someone of the same sex makes you happy, or not being married at all makes you happy, it's still your right, and no one should be allowed to take that away from you. You can choose to live your life the way you want, so let others choose the way they want to live.",It is discriminatory to refuse gay couples the right to marry,5
10arg5,"Any person should have the ability to marry if they wish. What other people think doesn't matter. If you are against homosexual union because of your religious beliefs, or other personal beliefs, it shouldn't and doesn't affect how two people choose to live their lives. Frankly, it's none of your business! Everybody should have the right to be happy, and whether devoting your life to your church makes you happy, or being married to someone of the same sex makes you happy, or not being married at all makes you happy, it's still your right, and no one should be allowed to take that away from you. You can choose to live your life the way you want, so let others choose the way they want to live.",Major world religions are against gay marriages,2
10arg7,"Any person should have the ability to marry if they wish. What other people think doesn't matter. If you are against homosexual union because of your religious beliefs, or other personal beliefs, it shouldn't and doesn't affect how two people choose to live their lives. Frankly, it's none of your business! Everybody should have the right to be happy, and whether devoting your life to your church makes you happy, or being married to someone of the same sex makes you happy, or not being married at all makes you happy, it's still your right, and no one should be allowed to take that away from you. You can choose to live your life the way you want, so let others choose the way they want to live.",Marriage should be between a man and a woman,2
11arg4,"As a gay teenager in high school I don't understand what the big deal is with excepting people for whom they are. People in my school don't think of me any different because I choose a different sexual preference then them, they RESPECT it, the way it should be all over. I have struggled for many years to comprehend this in a biblical aspect, and to be honest, I think its just as biblical as choosing your favorite color. Being gay isn't a choice, if it was the world would be MUCH different. People need to respect people for whom they are. If my partner and I want to have a legalized marriage, nobody should stop me, and quite frankly its discrimination.  The white light streams down to be broken up by those human prisms into all the colors of the rainbow.",It is discriminatory to refuse gay couples the right to marry,5
11arg5,"As a gay teenager in high school I don't understand what the big deal is with excepting people for whom they are. People in my school don't think of me any different because I choose a different sexual preference then them, they RESPECT it, the way it should be all over. I have struggled for many years to comprehend this in a biblical aspect, and to be honest, I think its just as biblical as choosing your favorite color. Being gay isn't a choice, if it was the world would be MUCH different. People need to respect people for whom they are. If my partner and I want to have a legalized marriage, nobody should stop me, and quite frankly its discrimination.  The white light streams down to be broken up by those human prisms into all the colors of the rainbow.",Major world religions are against gay marriages,2
12arg4,Being gay is something you are born with you cant wake up one day and say  im gonna be gay. thats like saying one day your are just gonna be black or white  or asian. Not allowing gays to marry is cruel and unjust they are people just like you and me. they feel the same thing that we feel. allowing the banning of same sex marriage is saying its okay to hate against someone wo is different. america is about accepting people for who they are and allowng them to live freely.  people say it is against God's will. maybe it is but we are not God and souldnt judge. in the bible it says only God can judge others not us. let them live there lives without judgment and them being marked as outsiders.,It is discriminatory to refuse gay couples the right to marry,5
12arg5,Being gay is something you are born with you cant wake up one day and say  im gonna be gay. thats like saying one day your are just gonna be black or white  or asian. Not allowing gays to marry is cruel and unjust they are people just like you and me. they feel the same thing that we feel. allowing the banning of same sex marriage is saying its okay to hate against someone wo is different. america is about accepting people for who they are and allowng them to live freely.  people say it is against God's will. maybe it is but we are not God and souldnt judge. in the bible it says only God can judge others not us. let them live there lives without judgment and them being marked as outsiders.,Major world religions are against gay marriages,2
12arg7,Being gay is something you are born with you cant wake up one day and say  im gonna be gay. thats like saying one day your are just gonna be black or white  or asian. Not allowing gays to marry is cruel and unjust they are people just like you and me. they feel the same thing that we feel. allowing the banning of same sex marriage is saying its okay to hate against someone wo is different. america is about accepting people for who they are and allowng them to live freely.  people say it is against God's will. maybe it is but we are not God and souldnt judge. in the bible it says only God can judge others not us. let them live there lives without judgment and them being marked as outsiders.,Marriage should be between a man and a woman,2
13arg1,By being GAY you are agreeing to certain unavoidable circumstances. 1. You cannot have children (stop trying to loophole this by wanting to adopt) 2. You cannot get married (this is a RELIGIOUS ceremony between 2 people of the OPPOSITE SEX)  I am not religious in fact I oppose christianity and when making decisions as a country we should NEVER rely on the bible (besides in the bible it is never against homosexuality in fact 3/5+ of the priests in the vattican are gay. If you want to be married without the trouble CALL IT SOMETHING ELSE but with the same benefits,Gay couples can declare their union without resort to marriage,5
13arg2,By being GAY you are agreeing to certain unavoidable circumstances. 1. You cannot have children (stop trying to loophole this by wanting to adopt) 2. You cannot get married (this is a RELIGIOUS ceremony between 2 people of the OPPOSITE SEX)  I am not religious in fact I oppose christianity and when making decisions as a country we should NEVER rely on the bible (besides in the bible it is never against homosexuality in fact 3/5+ of the priests in the vattican are gay. If you want to be married without the trouble CALL IT SOMETHING ELSE but with the same benefits,Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,5
13arg7,By being GAY you are agreeing to certain unavoidable circumstances. 1. You cannot have children (stop trying to loophole this by wanting to adopt) 2. You cannot get married (this is a RELIGIOUS ceremony between 2 people of the OPPOSITE SEX)  I am not religious in fact I oppose christianity and when making decisions as a country we should NEVER rely on the bible (besides in the bible it is never against homosexuality in fact 3/5+ of the priests in the vattican are gay. If you want to be married without the trouble CALL IT SOMETHING ELSE but with the same benefits,Marriage should be between a man and a woman,5
14arg4,"By passing gay marriage laws there will also be non-discrimination laws, which seems fine until you look deeper. Non discrimination laws will require all treated equal and will force people into something they do not agree with. A church could be required to mary a gay couple even if they do not agree with it because denying to marry a gay couple would be considered discrimination. Gay marriage will destroy the already fragile balance between church and state and will ruin religious freedom entirely. Not only that but gay marriage can open doors for polygamy, incest, etc. to be considered marriage too, which is wrong.",It is discriminatory to refuse gay couples the right to marry,2
14arg5,"By passing gay marriage laws there will also be non-discrimination laws, which seems fine until you look deeper. Non discrimination laws will require all treated equal and will force people into something they do not agree with. A church could be required to mary a gay couple even if they do not agree with it because denying to marry a gay couple would be considered discrimination. Gay marriage will destroy the already fragile balance between church and state and will ruin religious freedom entirely. Not only that but gay marriage can open doors for polygamy, incest, etc. to be considered marriage too, which is wrong.",Major world religions are against gay marriages,4
14arg7,"By passing gay marriage laws there will also be non-discrimination laws, which seems fine until you look deeper. Non discrimination laws will require all treated equal and will force people into something they do not agree with. A church could be required to mary a gay couple even if they do not agree with it because denying to marry a gay couple would be considered discrimination. Gay marriage will destroy the already fragile balance between church and state and will ruin religious freedom entirely. Not only that but gay marriage can open doors for polygamy, incest, etc. to be considered marriage too, which is wrong.",Marriage should be between a man and a woman,4
15arg4,"California voters have twice affirmed the self-evident fact that marriage is only for one man and one woman when they approved Proposition 22 in 2000 and Proposition 8 in 2008. But in the end, the truth isn't based on votes or opinion polls or mere feelings. When it comes to real marriage, human physiology clearly shows that a man and a woman are physically designed to fit together. Science continues to show that there is no gay gene therefore no special rights or laws are justified for those who engage in homosexual behavior. And study after study continues to affirm that the best environment for a child to be raised is with a married father and mother living under the same roof. Government schools and the entertainment media have done a powerful job of teaching moral relativism ad nauseam, while avoiding the teaching of real science and biology on this matter. And with no rigorous critical thinking taught in public schools, it's not surprising that the younger generation is confused about sexual absolutes and numb to societal consequences. The truth has always been, and will always remain, no matter what any law says, that if you don't have one man and one woman, you don't have real marriage.",It is discriminatory to refuse gay couples the right to marry,2
15arg7,"California voters have twice affirmed the self-evident fact that marriage is only for one man and one woman when they approved Proposition 22 in 2000 and Proposition 8 in 2008. But in the end, the truth isn't based on votes or opinion polls or mere feelings. When it comes to real marriage, human physiology clearly shows that a man and a woman are physically designed to fit together. Science continues to show that there is no gay gene therefore no special rights or laws are justified for those who engage in homosexual behavior. And study after study continues to affirm that the best environment for a child to be raised is with a married father and mother living under the same roof. Government schools and the entertainment media have done a powerful job of teaching moral relativism ad nauseam, while avoiding the teaching of real science and biology on this matter. And with no rigorous critical thinking taught in public schools, it's not surprising that the younger generation is confused about sexual absolutes and numb to societal consequences. The truth has always been, and will always remain, no matter what any law says, that if you don't have one man and one woman, you don't have real marriage.",Marriage should be between a man and a woman,5
16arg3,"Considering all of the people that are anti-gay marriage due to religious reasons say that the bible states that it is wrong, then why would God CREATE people that are gay.  A person does NOT become gay, they are usually born that way.  If you think that God created all men and women then he created the gays too, and they deserve love just as much as any heterosexual couple does.  Also for the people who state that it will open doors for other sick minded unions, marriage did not start out as something sacred, most wives were actually concubines, and also most people were forced into a marriage for purposes of money.  So there is no way for us to tell someone that they cannot be married, if you do not like it then do not marry another man or woman, it is as simple as that.","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",2
16arg4,"Considering all of the people that are anti-gay marriage due to religious reasons say that the bible states that it is wrong, then why would God CREATE people that are gay.  A person does NOT become gay, they are usually born that way.  If you think that God created all men and women then he created the gays too, and they deserve love just as much as any heterosexual couple does.  Also for the people who state that it will open doors for other sick minded unions, marriage did not start out as something sacred, most wives were actually concubines, and also most people were forced into a marriage for purposes of money.  So there is no way for us to tell someone that they cannot be married, if you do not like it then do not marry another man or woman, it is as simple as that.",It is discriminatory to refuse gay couples the right to marry,4
16arg7,"Considering all of the people that are anti-gay marriage due to religious reasons say that the bible states that it is wrong, then why would God CREATE people that are gay.  A person does NOT become gay, they are usually born that way.  If you think that God created all men and women then he created the gays too, and they deserve love just as much as any heterosexual couple does.  Also for the people who state that it will open doors for other sick minded unions, marriage did not start out as something sacred, most wives were actually concubines, and also most people were forced into a marriage for purposes of money.  So there is no way for us to tell someone that they cannot be married, if you do not like it then do not marry another man or woman, it is as simple as that.",Marriage should be between a man and a woman,2
17arg4,"Denying an individual's fundamental rights not only goes against the Constitution, but also will be keeping many singles from finding true love.",It is discriminatory to refuse gay couples the right to marry,5
17arg7,"Denying an individual's fundamental rights not only goes against the Constitution, but also will be keeping many singles from finding true love.",Marriage should be between a man and a woman,2
18arg1,Different people have different thoughts about what marriage is.  Should a christian give up their right to their beliefs about what marriage is so that homosexuals will feel included? Homosexuals should have rights as domestic partners because a marriage between people of the same sex is not the same as a marriage between two people of opposite sexes.,Gay couples can declare their union without resort to marriage,5
18arg4,Different people have different thoughts about what marriage is.  Should a christian give up their right to their beliefs about what marriage is so that homosexuals will feel included? Homosexuals should have rights as domestic partners because a marriage between people of the same sex is not the same as a marriage between two people of opposite sexes.,It is discriminatory to refuse gay couples the right to marry,2
18arg7,Different people have different thoughts about what marriage is.  Should a christian give up their right to their beliefs about what marriage is so that homosexuals will feel included? Homosexuals should have rights as domestic partners because a marriage between people of the same sex is not the same as a marriage between two people of opposite sexes.,Marriage should be between a man and a woman,5
19arg1,"Either way, theyre going to be together. Marriage is a way to express that you love somebody and want to be with them for the rest of your life, and if two people who are not married can stay together regardless of what anybody thinks the let them be together because youre not going to separate them due to the fact that they are legally not allowed to be married. And besides that, many people claim that its a sin, and granted, its in the old testament, but then you must also make premarital sex illegal, along with disrespecting parents. People need to respect other peoples wishes and to stop bullying others because of the way they feel towards members of the same sex. I mean after all, doesnt this country go through enough discrimination without the bullying of gay people?",Gay couples can declare their union without resort to marriage,4
19arg4,"Either way, theyre going to be together. Marriage is a way to express that you love somebody and want to be with them for the rest of your life, and if two people who are not married can stay together regardless of what anybody thinks the let them be together because youre not going to separate them due to the fact that they are legally not allowed to be married. And besides that, many people claim that its a sin, and granted, its in the old testament, but then you must also make premarital sex illegal, along with disrespecting parents. People need to respect other peoples wishes and to stop bullying others because of the way they feel towards members of the same sex. I mean after all, doesnt this country go through enough discrimination without the bullying of gay people?",It is discriminatory to refuse gay couples the right to marry,5
20arg4,"Every person want to have their own partner, so gay marriage should be legal. People who fall in love should live together. Every human being want to have their own family. They are gay, but they also want to have a happiness family same as marriage couple too.",It is discriminatory to refuse gay couples the right to marry,4
20arg6,"Every person want to have their own partner, so gay marriage should be legal. People who fall in love should live together. Every human being want to have their own family. They are gay, but they also want to have a happiness family same as marriage couple too.","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",5
20arg7,"Every person want to have their own partner, so gay marriage should be legal. People who fall in love should live together. Every human being want to have their own family. They are gay, but they also want to have a happiness family same as marriage couple too.",Marriage should be between a man and a woman,1
21arg4,"Everyone has there right to be happy. People who don't like gay marrige for religous reasons need to remember that our founding father created the USA in hope of separation of relgion and the goverment. I dont care if it says gays are sinners in the bible. That is religion. Marriage is a legal matter and gays don't have their legal rights.  if you worry about how gay couples can't have children, guess what, there are many children in foster care and are waiting to get adopted so if gays got married and adopted children it would acually HELP  and why do people care so much about what other people are doing if it doesnt hurt anyone else then WHO CARES",It is discriminatory to refuse gay couples the right to marry,5
21arg5,"Everyone has there right to be happy. People who don't like gay marrige for religous reasons need to remember that our founding father created the USA in hope of separation of relgion and the goverment. I dont care if it says gays are sinners in the bible. That is religion. Marriage is a legal matter and gays don't have their legal rights.  if you worry about how gay couples can't have children, guess what, there are many children in foster care and are waiting to get adopted so if gays got married and adopted children it would acually HELP  and why do people care so much about what other people are doing if it doesnt hurt anyone else then WHO CARES",Major world religions are against gay marriages,1
21arg6,"Everyone has there right to be happy. People who don't like gay marrige for religous reasons need to remember that our founding father created the USA in hope of separation of relgion and the goverment. I dont care if it says gays are sinners in the bible. That is religion. Marriage is a legal matter and gays don't have their legal rights.  if you worry about how gay couples can't have children, guess what, there are many children in foster care and are waiting to get adopted so if gays got married and adopted children it would acually HELP  and why do people care so much about what other people are doing if it doesnt hurt anyone else then WHO CARES","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",5
21arg7,"Everyone has there right to be happy. People who don't like gay marrige for religous reasons need to remember that our founding father created the USA in hope of separation of relgion and the goverment. I dont care if it says gays are sinners in the bible. That is religion. Marriage is a legal matter and gays don't have their legal rights.  if you worry about how gay couples can't have children, guess what, there are many children in foster care and are waiting to get adopted so if gays got married and adopted children it would acually HELP  and why do people care so much about what other people are doing if it doesnt hurt anyone else then WHO CARES",Marriage should be between a man and a woman,2
22arg5,"FOR ALL OF YOU THAT BELIEVE THAT HOMOSEXUALITY IS SOME THING THAT YOU ARE BORN WITH!!!! THINK AGAIN!!!! BECAUSE YOU ARE 1000% WRONG!!!!! HOMOSEXUALITY IS SOME THING THAT PEOPLE CHOOSE TO BE!!!! HOMOSEXUALISM IS NOT NOW, NEVER HAS BEEN NOR EVER WILL BE SOME THAT YOU CAN EVER BE BORN WITH!!!!! ALL OF YOU NEED TO THOROUGHLY REREAD YOUR BIBLES ALL ABOUT HOMOSEXUALITY!!!! YOU WILL FIND THAT GOD IS TOTALLY AGAINST, THAT HE  TOTALLY DISAPPROVES OF HOMOSEXUALISM,  THAT GOD TOTALLY FORBIDS ALL HOMOSEXUAL ACTIVITY  PRACTICE!!!! SO MUCH SO THAT HE DESTROYED THE COUNTRIES OF SODOM  GOMORRAH, NOT JUST BECAUSE OF HOMOSEXUALISM, BUT ALSO BECAUSE OF PROSTITUTION  BECAUSE OF THEIR WORSHIP OF FALSE IDOLS  FALSE GODS!!!! THERE IS ONLY ONE GOD!!!!",Major world religions are against gay marriages,5
24arg3,"GAY MARRIAGE DOES NOTHING TO HARM ANYONE, AND IT IS DISCRIMINATION AGAINST THEM IF WE DON'T ALLOW THEM TO BE MARRIED!!!!!! STOP SAME-SEX MARRIAGE DISCRIMINATION!!!","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",2
24arg4,"GAY MARRIAGE DOES NOTHING TO HARM ANYONE, AND IT IS DISCRIMINATION AGAINST THEM IF WE DON'T ALLOW THEM TO BE MARRIED!!!!!! STOP SAME-SEX MARRIAGE DISCRIMINATION!!!",It is discriminatory to refuse gay couples the right to marry,5
24arg7,"GAY MARRIAGE DOES NOTHING TO HARM ANYONE, AND IT IS DISCRIMINATION AGAINST THEM IF WE DON'T ALLOW THEM TO BE MARRIED!!!!!! STOP SAME-SEX MARRIAGE DISCRIMINATION!!!",Marriage should be between a man and a woman,1
25arg5,Gay marriage is against God principle .Marriage was defined by God  and should be between a man and a woman not Adam and Steve..,Major world religions are against gay marriages,5
25arg7,Gay marriage is against God principle .Marriage was defined by God  and should be between a man and a woman not Adam and Steve..,Marriage should be between a man and a woman,5
26arg1,"Gay marriage is different from that of interracial marriage which was also banned at one point in that nobody chooses to be black or white, yet a person chooses to be gay.  Homosexual activity is unnatural and leaves no possibility to creation of children.  The marriage union is the beginning to creation of a family, and without that essential possibility of the creation of children there is no reason for marriage.  I don't see why homosexual couples can't just be happy with the same benefits of marriage but calling it a civil union not marriage.  Marriage is a creation of religion and as such should remain defined as a union between a man and a woman.  I'm all for giving them benefits, but not for including their unionization into the sacred definition of marriage.  This way we will be able to distinguish from our children the difference of a civil union and marriage as believed to be by most christianity.",Gay couples can declare their union without resort to marriage,5
