id,text,label,line,uid
ab105,"So are some rapes good?  There is only one truth.  If there is an car accident and there are ten observers who are interviews by the police....there are ten different accounts to the story. That does not mean that there are ten ways it happened. There is only one way it happened and one truth.   The truth is the truth even if we can't see it.   What is radical about saying that abortion is wrong? It once was murder in America it was not radical back then. Does morality change? Is pedophelia wrong? Is there gray area in that?  What Hitler did...was that right or wrong...where is the gray area concerning the ovens?   Were the 9-11 radicals right in taking down and killing all those on 9-11?   You said something completely contradictory here....""To say that you can kill a fetus at any stage in the pregnancy isn't right, but never allowing a women to do something specific to her own body also isn't right.""  You say its wrong....but its right. If you say the woman has the right to kill because it is her body...then you cant deny her this right throughout the entire pregnancy. Which means that you are killing way beyond the time of viability. Is the fetus less human at three months...than at nine? If you are pro-choice...then the answer to this would not make a difference.   Humans judge humanity all the time....our police, teachers, clergy, court systems, parents. We all judge. You are judging me by the statements I make.   I do not need you to tell me what is right and wrong, or anyone for that matter. I do not believe that it takes a village to raise a child. I believe we are responsible for what we say and do, that we are capable to decide for ourselves.   What is a human being?    http://www.thefreedictionary.com/human   It is a fact that the human being in the womb is alive before the abortion...is dead after the abortion. The human is killed. It is not an animal....a rock......it is human and has all the characteristics of a human being...even at the embryonic stage. A human is a human...whether alive or dead. This Cassie Anthony murder trial....Kaylee was found in skeletal form, nevertheless they were human remains. That which is in the womb...whether at one month, or nine....is human.  You said, ""If we can only measure humanity by measuring consciousness, then that means, until a fetus has a developed brain with measurable brainwaves, it is only a mass of soulless meat.""  Humanity is not measured by consciousness. If so...the mentally retarded, those in comas, vegetative stages do not deserve it and can be treated like you say.... like masses of soulless meat. A hearless and barbaric statement to make.....  How do you know when a sould inhabits the body? In Christian scriptures....God controls this ...""before I formed you I knew you."" For you to say when a body has a soul.....is impossible. Are you god?  And if you are a humanist....why are you even mentioning souls....?  ""It's a mass of meat until it exhibits brain waves for the same reason a severed arm is a mass of meat: just because it's made of human flesh and cells doesn't make it human. It has no consciousness, and therefore it has no soul.""  Mass of meat? Are you a butcher or something? LOL   To say that those who are unconscious are not human have no soul.....that is insane and not scientific at all.   Just curious what you think about these...  Abortion to purify the races. (Sanger the founder of Planned Parenthood, hated blacks and targeted them through abortion. Hitler admired her.)  Abortion for profit. Women selling their fetal body parts for cash.  Abortion because something is wrong with fetus...wrong sex, hair lip...etc  Abortion to control the population.   Like I said you are all over on this. Abortion is right, no its wrong when.....and when that time is you cant pinpoint. No one could do this while the human is growing in the womb.   Do you know when they can detect measureable brain waves in the womb? Why should this matter to you?       http://www.buzzle.com/articles/ brain-development-in-fetus.html     So all of a sudden at some time (you cant pinpoint) abortion is wrong. BUT I THOUGHT YOU SAID EVERY WOMAN HAS THE RIGHT TO OWN HER BODY AND DECIDE FOR HERSELF?   As I said.....your comments are morally baffling...make no sense.",c-kill,is dead after the abortion. The human is killed,ab105arg0
ab105,"So are some rapes good?  There is only one truth.  If there is an car accident and there are ten observers who are interviews by the police....there are ten different accounts to the story. That does not mean that there are ten ways it happened. There is only one way it happened and one truth.   The truth is the truth even if we can't see it.   What is radical about saying that abortion is wrong? It once was murder in America it was not radical back then. Does morality change? Is pedophelia wrong? Is there gray area in that?  What Hitler did...was that right or wrong...where is the gray area concerning the ovens?   Were the 9-11 radicals right in taking down and killing all those on 9-11?   You said something completely contradictory here....""To say that you can kill a fetus at any stage in the pregnancy isn't right, but never allowing a women to do something specific to her own body also isn't right.""  You say its wrong....but its right. If you say the woman has the right to kill because it is her body...then you cant deny her this right throughout the entire pregnancy. Which means that you are killing way beyond the time of viability. Is the fetus less human at three months...than at nine? If you are pro-choice...then the answer to this would not make a difference.   Humans judge humanity all the time....our police, teachers, clergy, court systems, parents. We all judge. You are judging me by the statements I make.   I do not need you to tell me what is right and wrong, or anyone for that matter. I do not believe that it takes a village to raise a child. I believe we are responsible for what we say and do, that we are capable to decide for ourselves.   What is a human being?    http://www.thefreedictionary.com/human   It is a fact that the human being in the womb is alive before the abortion...is dead after the abortion. The human is killed. It is not an animal....a rock......it is human and has all the characteristics of a human being...even at the embryonic stage. A human is a human...whether alive or dead. This Cassie Anthony murder trial....Kaylee was found in skeletal form, nevertheless they were human remains. That which is in the womb...whether at one month, or nine....is human.  You said, ""If we can only measure humanity by measuring consciousness, then that means, until a fetus has a developed brain with measurable brainwaves, it is only a mass of soulless meat.""  Humanity is not measured by consciousness. If so...the mentally retarded, those in comas, vegetative stages do not deserve it and can be treated like you say.... like masses of soulless meat. A hearless and barbaric statement to make.....  How do you know when a sould inhabits the body? In Christian scriptures....God controls this ...""before I formed you I knew you."" For you to say when a body has a soul.....is impossible. Are you god?  And if you are a humanist....why are you even mentioning souls....?  ""It's a mass of meat until it exhibits brain waves for the same reason a severed arm is a mass of meat: just because it's made of human flesh and cells doesn't make it human. It has no consciousness, and therefore it has no soul.""  Mass of meat? Are you a butcher or something? LOL   To say that those who are unconscious are not human have no soul.....that is insane and not scientific at all.   Just curious what you think about these...  Abortion to purify the races. (Sanger the founder of Planned Parenthood, hated blacks and targeted them through abortion. Hitler admired her.)  Abortion for profit. Women selling their fetal body parts for cash.  Abortion because something is wrong with fetus...wrong sex, hair lip...etc  Abortion to control the population.   Like I said you are all over on this. Abortion is right, no its wrong when.....and when that time is you cant pinpoint. No one could do this while the human is growing in the womb.   Do you know when they can detect measureable brain waves in the womb? Why should this matter to you?       http://www.buzzle.com/articles/ brain-development-in-fetus.html     So all of a sudden at some time (you cant pinpoint) abortion is wrong. BUT I THOUGHT YOU SAID EVERY WOMAN HAS THE RIGHT TO OWN HER BODY AND DECIDE FOR HERSELF?   As I said.....your comments are morally baffling...make no sense.",c-baby_right,It is not an animal....a rock......it is human and has all the characteristics of a human being...even at the embryonic stage,ab105arg1
ab106,"Hello abortion debate number 9374638382943739393...  I've said this all too many times; fetus is not conscious, no different to killing an ant, own personal choice, blah blah blah...  Read one of the other billion abortion debates for my opinion.",p-not_human,fetus is not conscious,ab106arg0
ab107,"The short answer is ""yes"", the long answer is ""no"". You are misconstruing the ideas of being a Homo sapien and being a person. An unborn fetus is not a human. That is like trying to say that an acorn is an oak tree. If one can claim such a thing, that is delusional.  It certainly is worthy of life. But that does not mean that abortion is morally wrong or it should not be legal. All you are doing here is throwing out pointless questions.",p-not_human,An unborn fetus is not a human.,ab107arg0
ab108,"Depends on how far along the child is, if the pregnancy is not past the first trimester then no it is not taking a life.   For it has nothing to be innocent of, it has not yet lived to experience things that would make it innocent or guilty which are both conscious thought processes that a baby does not possess especially as a fetus.   A fetus is a parasite, living off of the host until the pregnancy has been full filled and the baby has been birthed. Only then would it be the taking of an innocent life.",p-not_human,"Depends on how far along the child is, if the pregnancy is not past the first trimester then no it is not taking a life.",ab108arg0
ab109,"Abortion is a really common thing nowaday and not a lot of people seem to be bothered by that idea, just because of how usual it has become.   I have an ""against"" point of view, just because I don't think that abortion is an exit from a situation whe you are pregnant, it can not be that easy. Before a girl should think about things to prevent unwanted pregnancy. There are a lot of pills, birthcontrols and some kind of technological equipments which may help without harming young girl's organism. Secondly I don't find it morally impoverished. It's basically a murder. Just think of it! Every day there are a lot of embryos thrown into huge garbage bins. Those were supposed t be future children and just because of silly ""parents"" they weren't given a chance to live. I don't know, maybe time passes by and I'll understand it sometime, someday, but not right now. For now it's something that gives me a big feeling of disgust.",c-kill,It's basically a murder.,ab109arg0
ab109,"Abortion is a really common thing nowaday and not a lot of people seem to be bothered by that idea, just because of how usual it has become.   I have an ""against"" point of view, just because I don't think that abortion is an exit from a situation whe you are pregnant, it can not be that easy. Before a girl should think about things to prevent unwanted pregnancy. There are a lot of pills, birthcontrols and some kind of technological equipments which may help without harming young girl's organism. Secondly I don't find it morally impoverished. It's basically a murder. Just think of it! Every day there are a lot of embryos thrown into huge garbage bins. Those were supposed t be future children and just because of silly ""parents"" they weren't given a chance to live. I don't know, maybe time passes by and I'll understand it sometime, someday, but not right now. For now it's something that gives me a big feeling of disgust.",c-baby_right,"Those were supposed t be future children and just because of silly ""parents"" they weren't given a chance to live.",ab109arg1
ab11,Isn't animal cruelty a crime? Animals are technically not people. So shouldn't it apply to unborn humans when one ends their life?,c-kill,So shouldn't it apply to unborn humans when one ends their life?,ab11arg0
ab110,"It will still come to feel pain, think comprehend, and has more life ahead of him/her then a 12 year old.",c-baby_right,"It will still come to feel pain, think comprehend, and has more life ahead of him/her then a 12 year old.",ab110arg0
ab111,"So because I disagree with you on capitalism, you're going to stalk and harass me now?  That  is utterly pathetic.  Most children in the adoption system don't get adopted, there's just too many of them.   Hmm, wow that was quick. I guess there just wasn't any real substance to your post. ;)",p-baby_ill_treatment,"Most children in the adoption system don't get adopted, there's just too many of them",ab111arg0
ab112,"Abortion is not murder. I never forgot that. I was attacking the argument from sapience not debating weather it is ethical to deny the existence of a hypothetical being. your commentary isn't relative to what i posted.   it is ethical to deny someone's or rather some human being's existence before they exist. It is ok to wear a condom. any such person being stopped from existing is just hypothetical. A fetus isnt a person, it is a human being. however just what the hell is a person? abortion gets down to questions that have been disputed for hundreds of years, and to this day don't possess satisfactory answers.   A fetus is undeniably alive by the way, it just doesn't demonstrate sapience and can not. Expanding the scope of the argument leads to problems, showing that the argument from sapience is only valid with ""but"", ""ifs"" etc which would contradict the argument. Is a baby born less then one day ago really sapient? if not, why not be able to put it in a dumpster. It does not have a choice of its own, and does not seem very ""person"" like. Thus it fits the criteria and people should have the ability to kill it, for it is very dependent on a care taker(s) and what right does it have to impose on anyone? This is just one of many examples.",c-baby_right,"A fetus is undeniably alive by the way, it just doesn't demonstrate sapience and can not.",ab112arg0
ab113,yeah so people have the right to decide. certain things happen in life and some people may not be able to support a baby. if a girl gets raped and becomes pregnant does she really want to carry that man's child? i wouldn't. plus some women have serious conditions so if they do carry a child to term they could die in labor. this is not good and they should have an abortion to save their life. it's simply not our choice to decide what people want to do with their bodies and if they feel it is not killing someone then it is not on our plates it is on theirs.,p-right,people have the right to decide.,ab113arg0
ab113,yeah so people have the right to decide. certain things happen in life and some people may not be able to support a baby. if a girl gets raped and becomes pregnant does she really want to carry that man's child? i wouldn't. plus some women have serious conditions so if they do carry a child to term they could die in labor. this is not good and they should have an abortion to save their life. it's simply not our choice to decide what people want to do with their bodies and if they feel it is not killing someone then it is not on our plates it is on theirs.,p-rape,it's simply not our choice to decide what people want to do with their bodies,ab113arg1
ab113,yeah so people have the right to decide. certain things happen in life and some people may not be able to support a baby. if a girl gets raped and becomes pregnant does she really want to carry that man's child? i wouldn't. plus some women have serious conditions so if they do carry a child to term they could die in labor. this is not good and they should have an abortion to save their life. it's simply not our choice to decide what people want to do with their bodies and if they feel it is not killing someone then it is not on our plates it is on theirs.,p-mother_danger,if a girl gets raped and becomes pregnant does she really want to carry that man's child?,ab113arg2
ab114,"Yea, christians aren't perfect. But is anybody else? If you were responsible you would have done the right thing in the first place, but obviously if you are in the abortion state, you weren't responsible. If you aren't prepared for what might happen due to your own actions, then don't do it. If you don't risk mistakes then you wouldn't be put into the situation.",c-sex,"If you aren't prepared for what might happen due to your own actions, then don't do it.",ab114arg0
ab115,"Why should you kill a innocent baby? That is exactly what abortion is. Even though the mother does not want the baby, she should still have it. Most of the people who want an abortion and never go through with it, actually say they would regret killing the baby. Should America become ""I get to do whatever I want to just because I can""?",c-kill,Why should you kill a innocent baby?,ab115arg0
ab116,"well, heres what i think. its ok to abort an unborn child because it is the parents decision to do so. now, once the baby is actually a living creature in your stomach besides just the fetus, it maybe then could be considered illegal since you are killing a baby, not a fetus. so say the fetus develops into an actuall baby at, i dont know 6 months? am i right, wrong? but when its an actuall  baby  and then you abort, then it may be considered murder, so.. all right i'll just break it down  abortion of a fetus:legal  abortion of a baby:  possibly  wrong",p-right,its ok to abort an unborn child because it is the parents decision to do so.,ab116arg0
ab116,"well, heres what i think. its ok to abort an unborn child because it is the parents decision to do so. now, once the baby is actually a living creature in your stomach besides just the fetus, it maybe then could be considered illegal since you are killing a baby, not a fetus. so say the fetus develops into an actuall baby at, i dont know 6 months? am i right, wrong? but when its an actuall  baby  and then you abort, then it may be considered murder, so.. all right i'll just break it down  abortion of a fetus:legal  abortion of a baby:  possibly  wrong",p-not_human,all right i'll just break it down  abortion of a fetus:legal  abortion of a baby:  possibly  wrong,ab116arg1
ab116,"well, heres what i think. its ok to abort an unborn child because it is the parents decision to do so. now, once the baby is actually a living creature in your stomach besides just the fetus, it maybe then could be considered illegal since you are killing a baby, not a fetus. so say the fetus develops into an actuall baby at, i dont know 6 months? am i right, wrong? but when its an actuall  baby  and then you abort, then it may be considered murder, so.. all right i'll just break it down  abortion of a fetus:legal  abortion of a baby:  possibly  wrong",c-kill,"now, once the baby is actually a living creature in your stomach besides just the fetus, it maybe then could be considered illegal since you are killing a baby, not a fetus.",ab116arg2
ab117,"Abortion is purely subjective.  If the woman is having an abortion, clearly she has her reasons.  People shouldn't judge others in general.  Doesn't even matter if your a 15 year old girl or a 28 year old woman, obviously if they were to choose to abort the child they were not ready to be mothers.  As for adopting it out, why would a woman put her self through all the changes and pressure of being pregnant, then not keep the child especially if she knows she is in no way shape or form ready to go through the while experience? However, If that was the main purpose for a woman to get pregnant in the first place, that's a totally different story.   How is it murder? It doesn't even truly exist yet. It hasn't been born into the world. If a woman had the baby then got rid of it, that's murder! NOT when it's still inside of her.",p-sick_mom,"As for adopting it out, why would a woman put her self through all the changes and pressure of being pregnant, then not keep the child especially if she knows she is in no way shape or form ready to go through the while experience?",ab117arg0
ab117,"Abortion is purely subjective.  If the woman is having an abortion, clearly she has her reasons.  People shouldn't judge others in general.  Doesn't even matter if your a 15 year old girl or a 28 year old woman, obviously if they were to choose to abort the child they were not ready to be mothers.  As for adopting it out, why would a woman put her self through all the changes and pressure of being pregnant, then not keep the child especially if she knows she is in no way shape or form ready to go through the while experience? However, If that was the main purpose for a woman to get pregnant in the first place, that's a totally different story.   How is it murder? It doesn't even truly exist yet. It hasn't been born into the world. If a woman had the baby then got rid of it, that's murder! NOT when it's still inside of her.",p-not_human,It doesn't even truly exist yet. It hasn't been born into the world.,ab117arg1
ab117,"Abortion is purely subjective.  If the woman is having an abortion, clearly she has her reasons.  People shouldn't judge others in general.  Doesn't even matter if your a 15 year old girl or a 28 year old woman, obviously if they were to choose to abort the child they were not ready to be mothers.  As for adopting it out, why would a woman put her self through all the changes and pressure of being pregnant, then not keep the child especially if she knows she is in no way shape or form ready to go through the while experience? However, If that was the main purpose for a woman to get pregnant in the first place, that's a totally different story.   How is it murder? It doesn't even truly exist yet. It hasn't been born into the world. If a woman had the baby then got rid of it, that's murder! NOT when it's still inside of her.",p-not_murder,"If a woman had the baby then got rid of it, that's murder! NOT when it's still inside of her.",ab117arg2
ab118,so what if it doesn't have a brain yet still is going to get one and still has a whole future in front of him/her.,c-baby_right,so what if it doesn't have a brain yet still is going to get one and still has a whole future in front of him/her.,ab118arg0
ab119,"It is the woman's body, therefore it should be her choice. You can't just take away her right to choose because  you  think it is wrong. And, if it was made illegal, what would she do with the baby afterwards? Put it in an orphanage? There are already so many children without a home and people to care for them. Why add more? Also, the child could be neglected or abused by the mother.  That  would really pain the child. Now, as to the idea the child could grow to become someone important to the world, can't it be the other way around as well? The child could also become an absolute lunatic in the future, who's to tell?",p-right,You can't just take away her right to choose because  you  think it is wrong.,ab119arg0
ab119,"It is the woman's body, therefore it should be her choice. You can't just take away her right to choose because  you  think it is wrong. And, if it was made illegal, what would she do with the baby afterwards? Put it in an orphanage? There are already so many children without a home and people to care for them. Why add more? Also, the child could be neglected or abused by the mother.  That  would really pain the child. Now, as to the idea the child could grow to become someone important to the world, can't it be the other way around as well? The child could also become an absolute lunatic in the future, who's to tell?",p-baby_ill_treatment,"It is the woman's body, therefore it should be her choice",ab119arg1
ab12,"If you are a woman and have a brain you know that any birth control method can fail, unless she has had a hysterectomy. So the woman takes the chance, it is her decision, HER RESPONSIBILTY. It's not always about stupidity...but that does not chance the responsiblity part or the fact that says....a human life starts at conception.   Why do you feel that rape and incest warrent abortion? Is the innocent child in the wombs life less than one in a womb who got there by a mother who was not raped? Do you think that if you walked into a hospital nursery and you were told that one babys mother had been raped...that you would be able to pick it out? Why does two acts of violence make sense? So the woman goes through the rape and then knowing she killed the child inside her. Do you know how mothers would cope with this extra trauma?   And are you saying that because a child has a deformity that it deserves to die? Wow...how compassionate and materialist you are. ARe you perfect in appearence? Lets abort babies because they have problems.......Hitler had the same idea did you know that? He believed in killing the weak, the dredges of society. Again you are blaming the unborn for the sins of the parent. I have personally seen drug babies...and while they have a hard time at first...they can be saved and they can lead normal lives. You are making excuses for the killing.   How about the woman who does not want to get stretch marks...the woman who wants to finish school, the woman who does know who the father is, the woman who does not want another child of that sex?   You know it is sad that you feel this way...that you would be so judgemental that to solve a problem you have to kill a living human being. That you would speak for another human who cant speak for themselves, and choose death. You are choosing death...for all the ""what-if's""  What right do you have to determine how someone MIGHT LIVE?   What if you were poor....and the government said that everyone who made less than a certain amount couldn't have a child, that if you got pregnant you would have to abort because if you had one it would be a burdon on society. Would you be ok with that?  What did you mean by your comment....""life would be impacted seriously (not superficially)""? What right do you have to tell a woman why she cant abort at any time?",c-kill,to solve a problem you have to kill a living human being.,ab12arg0
ab120,Should abortion be legal? It was like asking should murdering another person should be legal? I can't see the point why it should be legal in any sense. Abortion = murder. Why? Because you are planning to take the life of another human. Don't tell me that fetuses are not babies because in every single way they are. And if they are human they have all the right to live. You can have them be adopted if you are not ready with the child. Just don't take their first right away from them.,c-adopt,You can have them be adopted if you are not ready with the child.,ab120arg0
ab120,Should abortion be legal? It was like asking should murdering another person should be legal? I can't see the point why it should be legal in any sense. Abortion = murder. Why? Because you are planning to take the life of another human. Don't tell me that fetuses are not babies because in every single way they are. And if they are human they have all the right to live. You can have them be adopted if you are not ready with the child. Just don't take their first right away from them.,c-kill,Abortion = murder.,ab120arg1
ab120,Should abortion be legal? It was like asking should murdering another person should be legal? I can't see the point why it should be legal in any sense. Abortion = murder. Why? Because you are planning to take the life of another human. Don't tell me that fetuses are not babies because in every single way they are. And if they are human they have all the right to live. You can have them be adopted if you are not ready with the child. Just don't take their first right away from them.,c-baby_right,Because you are planning to take the life of another human.,ab120arg2
